Month,Day,Text
Mar,26,"['26', 'Do', 'D', '3/4', '3/4', '2', '1']"
Mar,27,"['27', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Mar,28,"['28', 'Sa', 'A', '1/2', '1/2', '3', '4']"
Mar,29,"['29', 'Sonntag']"
Mar,30,"['30', 'Mo', 'B', '1/2', '1/2', '3', '4']"
Mar,31,"['31', 'Di', 'C', '1/2', '1/2', '3', '4']"
Apr,1,"['1', 'Mi', 'D', '1/2', '1/2', '3', '4']"
Apr,2,"['2', 'Do', 'E', '1/2', '1/2', '3', '4']"
Apr,3,"['3', 'Fr', 'Karfreitag']"
Apr,4,"['4', 'Sa']"
Apr,5,"['5', 'So', 'Ostersonntag']"
Apr,6,"['6', 'Mo', 'Ostermontag']"
Apr,7,"['7', 'Di', 'A', '3/4', '3/4', '1', '2']"
Apr,8,"['8', 'Mi', 'B', '3/4', '3/4', '1', '2']"
Apr,9,"['9', 'Do', 'C', '3/4', '3/4', '1', '2']"
Apr,10,"['10', 'Fr', 'D', '3/4', '3/4', '1', '2']"
Apr,11,"['11', 'Sa', 'E', '3/4', '3/4', '1', '2']"
Apr,12,"['12', 'Sonntag']"
Apr,13,"['13', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Apr,14,"['14', 'Di', 'B', '1/2', '1/2', '4', '3']"
Apr,15,"['15', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Apr,16,"['16', 'Do', 'D', '1/2', '1/2', '4', '3']"
Apr,17,"['17', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Apr,18,"['18', 'Sa']"
Apr,19,"['19', 'Sonntag']"
Apr,20,"['20', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Apr,21,"['21', 'Di', 'B', '3/4', '3/4', '2', '1']"
Apr,22,"['22', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Apr,23,"['23', 'Do', 'D', '3/4', '3/4', '2', '1']"
Apr,24,"['24', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Apr,25,"['25', 'Sa']"
Apr,26,"['26', 'Sonntag']"
Apr,27,"['27', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Apr,28,"['28', 'Di', 'B', '1/2', '1/2', '3', '4']"
Apr,29,"['29', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Apr,30,"['30', 'Do', 'D', '1/2', '1/2', '3', '4']"
Apr,31,[]
May,1,"['1', 'Fr', 'Maifeiertag']"
May,2,"['2', 'Sa', 'E', '1/2', '1/2', '3', '4']"
May,3,"['3', 'Sonntag']"
May,4,"['4', 'Mo', 'A', '3/4', '3/4', '1', '2']"
May,5,"['5', 'Di', 'B', '3/4', '3/4', '1', '2']"
May,6,"['6', 'Mi', 'C', '3/4', '3/4', '1', '2']"
May,7,"['7', 'Do', 'D', '3/4', '3/4', '1', '2']"
May,8,"['8', 'Fr', 'E', '3/4', '3/4', '1', '2']"
May,9,"['9', 'Sa']"
May,10,"['10', 'Sonntag']"
May,11,"['11', 'Mo', 'A', '1/2', '1/2', '4', '3']"
May,12,"['12', 'Di', 'B', '1/2', '1/2', '4', '3']"
May,13,"['13', 'Mi', 'C', '1/2', '1/2', '4', '3']"
May,14,"['14', 'Do', 'Christi', 'Himmelfahrt']"
May,15,"['15', 'Fr', 'D', '1/2', '1/2', '4', '3']"
May,16,"['16', 'Sa', 'E', '1/2', '1/2', '4', '3']"
May,17,"['17', 'Sonntag']"
May,18,"['18', 'Mo', 'A', '3/4', '3/4', '2', '1']"
May,19,"['19', 'Di', 'B', '3/4', '3/4', '2', '1']"
May,20,"['20', 'Mi', 'C', '3/4', '3/4', '2', '1']"
May,21,"['21', 'Do', 'D', '3/4', '3/4', '2', '1']"
