Month,Day,Text
Oct,1,"['1', 'Do', 'D', '1/2', '1/2', '4', '3']"
Oct,2,"['2', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Oct,3,"['3', 'Sa', 'Tag', 'der', 'Dt.', 'Einheit']"
Oct,4,"['4', 'Sonntag']"
Oct,5,"['5', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Oct,6,"['6', 'Di', 'B', '3/4', '3/4', '2', '1']"
Oct,7,"['7', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Oct,8,"['8', 'Do', 'D', '3/4', '3/4', '2', '1']"
Oct,9,"['9', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Oct,10,"['10', 'Sa']"
Oct,11,"['11', 'Sonntag']"
Oct,12,"['12', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Oct,13,"['13', 'Di', 'B', '1/2', '1/2', '3', '4']"
Oct,14,"['14', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Oct,15,"['15', 'Do', 'D', '1/2', '1/2', '3', '4']"
Oct,16,"['16', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Oct,17,"['17', 'Sa']"
Oct,18,"['18', 'Sonntag']"
Oct,19,"['19', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Oct,20,"['20', 'Di', 'B', '3/4', '3/4', '1', '2']"
Oct,21,"['21', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Oct,22,"['22', 'Do', 'D', '3/4', '3/4', '1', '2']"
Oct,23,"['23', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Oct,24,"['24', 'Sa']"
Oct,25,"['25', 'Sonntag']"
Oct,26,"['26', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Oct,27,"['27', 'Di', 'B', '1/2', '1/2', '4', '3']"
Oct,28,"['28', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Oct,29,"['29', 'Do', 'D', '1/2', '1/2', '4', '3']"
Oct,30,"['30', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Oct,31,"['31', 'Sa', 'Problemmüllsammlung']"
Nov,1,"['1', 'So', 'Allerheiligen']"
Nov,2,"['2', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Nov,3,"['3', 'Di', 'B', '3/4', '3/4', '2', '1']"
Nov,4,"['4', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Nov,5,"['5', 'Do', 'D', '3/4', '3/4', '2', '1']"
Nov,6,"['6', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Nov,7,"['7', 'Sa']"
Nov,8,"['8', 'Sonntag']"
Nov,9,"['0', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Nov,10,"['70', 'Di', 'B', '1/2', '1/2', '3', '4']"
Nov,11,"['77', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Nov,12,"['12', 'Do', 'D', '1/2', '1/2', '3', '4']"
Nov,13,"['73', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Nov,14,"['14', 'Sa']"
Nov,15,"['15', 'Sonntag']"
Nov,16,"['16', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Nov,17,"['17', 'Di', 'B', '3/4', '3/4', '1', '2']"
Nov,18,"['18', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Nov,19,"['19', 'Do', 'D', '3/4', '3/4', '1', '2']"
Nov,20,"['20', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Nov,21,"['21', 'Sa']"
Nov,22,"['22', 'Sonntag']"
Nov,23,"['23', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Nov,24,"['24', 'Di', 'B', '1/2', '1/2', '4', '3']"
Nov,25,"['25', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Nov,26,"['26', 'Do', 'D', '1/2', '1/2', '4', '3']"
Nov,27,"['27', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Nov,28,"['28', 'Sa']"
Nov,29,"['29', 'Sonntag']"
Nov,30,"['30', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Nov,31,[]
Dec,1,"['1', 'Di', 'B', '3/4', '3/4', '2', '1']"
Dec,2,"['2', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Dec,3,"['3', 'Do', 'D', '3/4', '3/4', '2', '1']"
Dec,4,"['4', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Dec,5,"['5', 'Sa']"
Dec,6,"['6', 'Sonntag']"
Dec,7,"['7', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Dec,8,"['8', 'Di', 'B', '1/2', '1/2', '3', '4']"
Dec,9,"['9', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Dec,10,"['10', 'Do', 'D', '1/2', '1/2', '3', '4']"
Dec,11,"['11', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Dec,12,"['12', 'Sa']"
Dec,13,"['13', 'Sonntag']"
Dec,14,"['14', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Dec,15,"['15', 'Di', 'B', '3/4', '3/4', '1', '2']"
Dec,16,"['16', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Dec,17,"['17', 'Do', 'D', '3/4', '3/4', '1', '2']"
Dec,18,"['18', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Dec,19,"['19', 'Sa', 'A', '1/2', '1/2', '4', '3']"
Dec,20,"['20', 'Sonntag']"
Dec,21,"['21', 'Mo', 'B', '1/2', '1/2', '4', '3']"
Dec,22,"['22', 'Di', 'C', '1/2', '1/2', '4', '3']"
Dec,23,"['23', 'Mi', 'D', '1/2', '1/2', '4', '3']"
Dec,24,"['24', 'Do', 'E', '1/2', '1/2', '4', '3']"
Dec,25,"['25', 'Fr', '1', '.', 'Weihnachtsfeiertag']"
Dec,26,"['26', 'Sa', '2.', 'Weihnachtsfeiertag']"
Dec,27,"['27', 'Sonntag']"
Dec,28,"['28', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Dec,29,"['29', 'Di', 'B', '3/4', '3/4', '2', '1']"
Dec,30,"['30', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Dec,31,"['31', 'Do', 'D', '3/4', '3/4', '2', '1']"
