Month,Day,Text
Jul,1,"['1', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Jul,2,"['2', 'Do', 'D', '3/4', '3/4', '1', '2']"
Jul,3,"['3', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Jul,4,"['4', 'Sa']"
Jul,5,"['5', 'Sonntag']"
Jul,6,"['6', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Jul,7,"['7', 'Di', 'B', '1/2', '1/2', '4', '3']"
Jul,8,"['8', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Jul,9,"['9', 'Do', 'D', '1/2', '1/2', '4', '3']"
Jul,10,"['10', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Jul,11,"['11', 'Sa']"
Jul,12,"['12', 'Sonntag']"
Jul,13,"['13', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Jul,14,"['14', 'Di', 'B', '3/4', '3/4', '2', '1']"
Jul,15,"['15', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Jul,16,"['16', 'Do', 'D', '3/4', '3/4', '2', '1']"
Jul,17,"['17', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Jul,18,"['18', 'Sa']"
Jul,19,"['19', 'Sonntag']"
Jul,20,"['20', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Jul,21,"['21', 'Di', 'B', '1/2', '1/2', '3', '4']"
Jul,22,"['22', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Jul,23,"['23', 'Do', 'D', '1/2', '1/2', '3', '4']"
Jul,24,"['24', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Jul,25,"['25', 'Sa']"
Jul,26,"['26', 'Sonntag']"
Jul,27,"['27', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Jul,28,"['28', 'Di', 'B', '3/4', '3/4', '1', '2']"
Jul,29,"['29', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Jul,30,"['30', 'Do', 'D', '3/4', '3/4', '1', '2']"
Jul,31,"['31', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Aug,1,"['1', 'Sa']"
Aug,2,"['2', 'Sonntag']"
Aug,3,"['3', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Aug,4,"['4', 'Di', 'B', '1/2', '1/2', '4', '3']"
Aug,5,"['5', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Aug,6,"['6', 'Do', 'D', '1/2', '1/2', '4', '3']"
Aug,7,"['7', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Aug,8,"['8', 'Sa']"
Aug,9,"['9', 'Sonntag']"
Aug,10,"['10', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Aug,11,"['11', 'Di', 'B', '3/4', '3/4', '2', '1']"
Aug,12,"['12', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Aug,13,"['13', 'Do', 'D', '3/4', '3/4', '2', '1']"
Aug,14,"['14', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Aug,15,"['15', 'Sa', 'Mariä', 'Himmelfahrt']"
Aug,16,"['16', 'Sonntag']"
Aug,17,"['17', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Aug,18,"['18', 'Di', 'B', '1/2', '1/2', '3', '4']"
Aug,19,"['19', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Aug,20,"['20', 'Do', 'D', '1/2', '1/2', '3', '4']"
Aug,21,"['21', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Aug,22,"['22', 'Sa']"
Aug,23,"['23', 'Sonntag']"
Aug,24,"['24', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Aug,25,"['25', 'Di', 'B', '3/4', '3/4', '1', '2']"
Aug,26,"['26', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Aug,27,"['27', 'Do', 'D', '3/4', '3/4', '1', '2']"
Aug,28,"['28', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Aug,29,"['29', 'Sa']"
Aug,30,"['30', 'Sonntag']"
Aug,31,"['31', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Sep,1,"['1', 'Di', 'B', '1/2', '1/2', '4', '3']"
Sep,2,"['2', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Sep,3,"['3', 'Do', 'D', '1/2', '1/2', '4', '3']"
Sep,4,"['4', 'Fr', 'E', '1/2', '1/2', '4', '3']"
Sep,5,"['5', 'Sa']"
Sep,6,"['6', 'Sonntag']"
Sep,7,"['7', 'Mo', 'A', '3/4', '3/4', '2', '1']"
Sep,8,"['8', 'Di', 'B', '3/4', '3/4', '2', '1']"
Sep,9,"['9', 'Mi', 'C', '3/4', '3/4', '2', '1']"
Sep,10,"['10', 'Do', 'D', '3/4', '3/4', '2', '1']"
Sep,11,"['11', 'Fr', 'E', '3/4', '3/4', '2', '1']"
Sep,12,"['12', 'Sa']"
Sep,13,"['13', 'Sonntag']"
Sep,14,"['14', 'Mo', 'A', '1/2', '1/2', '3', '4']"
Sep,15,"['15', 'Di', 'B', '1/2', '1/2', '3', '4']"
Sep,16,"['16', 'Mi', 'C', '1/2', '1/2', '3', '4']"
Sep,17,"['17', 'Do', 'D', '1/2', '1/2', '3', '4']"
Sep,18,"['18', 'Fr', 'E', '1/2', '1/2', '3', '4']"
Sep,19,"['19', 'Sa']"
Sep,20,"['20', 'Sonntag']"
Sep,21,"['21', 'Mo', 'A', '3/4', '3/4', '1', '2']"
Sep,22,"['22', 'Di', 'B', '3/4', '3/4', '1', '2']"
Sep,23,"['23', 'Mi', 'C', '3/4', '3/4', '1', '2']"
Sep,24,"['24', 'Do', 'D', '3/4', '3/4', '1', '2']"
Sep,25,"['25', 'Fr', 'E', '3/4', '3/4', '1', '2']"
Sep,26,"['26', 'Sa']"
Sep,27,"['27', 'Sonntag']"
Sep,28,"['28', 'Mo', 'A', '1/2', '1/2', '4', '3']"
Sep,29,"['29', 'Di', 'B', '1/2', '1/2', '4', '3']"
Sep,30,"['30', 'Mi', 'C', '1/2', '1/2', '4', '3']"
Sep,31,[]
